,course,Credits,Instructor,Department,course_name,description,vec_str
308,AS 302,3,K N Alleman,Aerospace Studies (AS),Air Force Leadership Studies II ,Continuation of 301. Focuses on an examination of Air Force leadership and management concepts. Continued emphasis is given to the refinement of both written and oral communicative skills. A-F only. Pre: must have completed 301.,Air Force Leadership Studies II  Continuation of 301. Focuses on an examination of Air Force leadership and management concepts. Continued emphasis is given to the refinement of both written and oral communicative skills. A-F only. Pre: must have completed 301. Aerospace Studies (AS)
312,AS 302L,1,K N Alleman,Aerospace Studies (AS),Intermediate Cadet Leader II ,Continuation of 301L. CR/NC only. Pre: must have completed AFROTC Field Training; or consent.,Intermediate Cadet Leader II  Continuation of 301L. CR/NC only. Pre: must have completed AFROTC Field Training; or consent. Aerospace Studies (AS)
316,AS 402,3,M A Arguello,Aerospace Studies (AS),National Security Affairs ,Continuation of 401. A-F only. Pre: 401 or consent.,National Security Affairs  Continuation of 401. A-F only. Pre: 401 or consent. Aerospace Studies (AS)
320,AS 402L,1,K N Alleman,Aerospace Studies (AS),Senior Cadet Leader II ,"Laboratory consists of providing prospective Air Force officers
opportunities to continue to develop leadership, managerial, and supervisory skills. Instruction will include preparation for active duty. CR/NC only. Pre: must have completed 301 and 302L; or consent.","Senior Cadet Leader II  Laboratory consists of providing prospective Air Force officers
opportunities to continue to develop leadership, managerial, and supervisory skills. Instruction will include preparation for active duty. CR/NC only. Pre: must have completed 301 and 302L; or consent. Aerospace Studies (AS)"
324,ASL 102,3,A M Tsuji-Jones,American Sign Language (ASL),Elementary American Sign Language II ,Continued development of basic receptive and expressive conversational skills in American Sign Language; linguistic structure introduced inductively through mix of lectures and discussion; discussion of history and culture of Deaf community in the U.S. Pre: 101 (or equivalent).,Elementary American Sign Language II  Continued development of basic receptive and expressive conversational skills in American Sign Language; linguistic structure introduced inductively through mix of lectures and discussion; discussion of history and culture of Deaf community in the U.S. Pre: 101 (or equivalent). American Sign Language (ASL)
342,ASL 202,3,A M Tsuji-Jones,American Sign Language (ASL),Intermediate American Sign Language II ,Continued development of receptive and expressive conversational skills in American Sign Language; linguistic structure introduced inductively through mix of lectures and discussion; includes discussion of history and culture of Deaf community in the U.S. Pre: 201.,Intermediate American Sign Language II  Continued development of receptive and expressive conversational skills in American Sign Language; linguistic structure introduced inductively through mix of lectures and discussion; includes discussion of history and culture of Deaf community in the U.S. Pre: 201. American Sign Language (ASL)
348,AMST 111,3,R R Perkinson,American Studies (AMST),Introduction to American Studies Writing ,Introduction to different types of college level writing and information literacy with a focus on American culture and society. A-F only.,Introduction to American Studies Writing  Introduction to different types of college level writing and information literacy with a focus on American culture and society. A-F only. American Studies (AMST)
350,AMST 111,3,TBA,American Studies (AMST),Introduction to American Studies Writing ,Introduction to different types of college level writing and information literacy with a focus on American culture and society. A-F only.,Introduction to American Studies Writing  Introduction to different types of college level writing and information literacy with a focus on American culture and society. A-F only. American Studies (AMST)
356,AMST 150,3,J A Tripp,American Studies (AMST),America and the World ,"Examines America’s role in world history and the influence of world affairs on U.S. culture and society. Focuses on U.S. interdependence with African, European, Native American, Asian, and Polynesian civilizations, from 1492 to present.","America and the World  Examines America’s role in world history and the influence of world affairs on U.S. culture and society. Focuses on U.S. interdependence with African, European, Native American, Asian, and Polynesian civilizations, from 1492 to present. American Studies (AMST)"
384,AMST 201,3,B P Dawson,American Studies (AMST),American Experience: Institutions and Movements ,"Emergence and transformation of laws, ideologies, institutions, and social movements from the 17th-21st centuries. Emphasis on relationships among structures of power, representational practices, belief systems, and social action. Writing emphasis,
interdisciplinary perspectives. DH","American Experience: Institutions and Movements  Emergence and transformation of laws, ideologies, institutions, and social movements from the 17th-21st centuries. Emphasis on relationships among structures of power, representational practices, belief systems, and social action. Writing emphasis,
interdisciplinary perspectives. DH American Studies (AMST)"
392,AMST 202,3,Y Hu,American Studies (AMST),American Experience: Culture and the Arts ,"Literature and modern media; visual and performing arts; material culture and architecture; foodways and ritual as meaning-making processes that have shaped the diverse identities, spaces, and communities of the Americas. Writing emphasis, interdisciplinary perspectives. DH","American Experience: Culture and the Arts  Literature and modern media; visual and performing arts; material culture and architecture; foodways and ritual as meaning-making processes that have shaped the diverse identities, spaces, and communities of the Americas. Writing emphasis, interdisciplinary perspectives. DH American Studies (AMST)"
400,AMST 211,3,R E Hong,American Studies (AMST),Contemporary American Domestic Issues ,"Current debates in the U.S. over individual rights and nationalism; civil rights, citizenship, and sovereignty; sexuality, law, and religion; economic, racial, and gender equality; public health and environmental justice. Writing emphasis, interdisciplinary perspectives.","Contemporary American Domestic Issues  Current debates in the U.S. over individual rights and nationalism; civil rights, citizenship, and sovereignty; sexuality, law, and religion; economic, racial, and gender equality; public health and environmental justice. Writing emphasis, interdisciplinary perspectives. American Studies (AMST)"
